bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_x3,bbox_y3,bbox_x4,bbox_y4,labels,fname,img_type
769,474,1146,471,1145,509,771,511,1,0GD3EH8SIE_1.jpg,2
1546,353,1779,354,1779,384,1546,387,2,0GD3EH8SIE_1.jpg,2
1572,310,1775,310,1777,338,1572,344,2,0L1EIKM8SU_0.jpg,2
765,143,1311,98,1189,295,612,330,3,8A9B87F189_1.jpg,5
1630,61,1814,63,1815,91,1628,96,2,8A9B87F189_1.jpg,5
769,476,1147,472,1146,509,769,511,1,4BF14869E1_0.jpg,2
1560,346,1800,347,1800,377,1560,381,2,4BF14869E1_0.jpg,2
780,475,1141,470,1141,508,778,511,1,3AB6FC95D6_0.jpg,2
1629,284,1828,284,1834,314,1629,314,2,3AB6FC95D6_0.jpg,2
758,146,1312,92,1188,292,610,328,3,5141C3A3F8_0.jpg,5
1656,64,1822,57,1823,84,1657,89,2,5141C3A3F8_0.jpg,5
681,1765,1873,1705,1869,1845,689,1885,1,146073D685_0.jpg,2
3189,1181,3845,1205,3845,1289,3201,1293,2,146073D685_0.jpg,2
775,469,1145,469,1145,511,775,511,1,ACDD33A017_0.jpg,2
1581,337,1829,333,1831,365,1581,371,2,ACDD33A017_0.jpg,2
741,147,1311,95,1191,291,597,335,3,AD58BB1460_1.jpg,5
1635,59,1815,57,1817,93,1633,97,2,AD58BB1460_1.jpg,5
737,145,1311,97,1193,293,605,329,3,AWEDPCEKOU_0.jpg,5
1605,45,1811,45,1817,83,1603,91,2,AWEDPCEKOU_0.jpg,5
761,143,1309,95,1191,289,609,329,3,KJPCNUM8J0_1.jpg,5
1551,63,1823,65,1819,95,1551,97,2,KJPCNUM8J0_1.jpg,5
1273,1429,2241,1421,2237,1541,1273,1533,1,4Z8ZB18LX0_1.jpg,2
3297,1121,3961,1125,3949,1213,3293,1229,2,4Z8ZB18LX0_1.jpg,2
1225,1293,1825,1269,1833,1361,1233,1369,1,5GCCFRJIUU_1.jpg,2
2493,1077,2921,1069,2917,1125,2489,1133,2,5GCCFRJIUU_1.jpg,2
771,527,1147,515,1147,571,769,575,1,E708CACBAC_1.jpg,2
1679,253,1873,255,1873,289,1675,289,2,E708CACBAC_1.jpg,2
771,469,1143,465,1145,513,769,513,1,N3WKQYXZDE_1.jpg,2
1633,259,1795,263,1791,287,1633,289,2,N3WKQYXZDE_1.jpg,2
424,203,755,176,678,290,324,317,3,7KTZALA0_0.jpg,5
933,158,1019,160,1016,181,930,180,2,7KTZALA0_0.jpg,5
493,93,871,66,790,191,402,214,3,20E92A2CC0_0.jpg,5
1070,31,1208,36,1209,55,1069,60,2,20E92A2CC0_0.jpg,5
1413,405,2529,305,2273,689,1117,757,3,35ED6070EC_1.jpg,5
3285,149,3701,149,3697,229,3281,233,2,35ED6070EC_1.jpg,5
759,153,1311,101,1185,293,607,325,3,5141C3A3F8_0.jpg,5
1647,57,1827,59,1825,91,1653,99,2,5141C3A3F8_0.jpg,5
521,168,881,138,803,260,430,280,3,FFECXFXZL0_0.jpg,5
1098,86,1252,87,1252,116,1102,119,2,FFECXFXZL0_0.jpg,5
